顧客ID,生年月日,性別,年齢,年齢層
C00013799,1994-10-24,男,30,30代
C00001596,1973-06-24,男,52,50代
C00017054,2001-02-25,女,24,20代
C00006517,2002-07-15,男,23,20代
C00005470,1992-04-22,女,33,30代
C00017490,1994-08-12,男,31,30代
C00015100,1993-06-05,女,32,30代
C00006469,1994-08-26,女,31,30代
C00011980,1966-03-05,その他・不明,59,50代
C00012861,1983-11-08,女,41,40代
C00001988,2011-05-28,女,14,10代未満
C00018758,1965-09-26,男,59,50代
C00017251,1983-03-10,男,42,40代
C00001279,2007-10-10,女,17,10代未満
C00003525,2002-01-27,女,23,20代
C00006065,2007-10-12,男,17,10代未満
C00001795,1961-05-07,男,64,60代以上
C00004445,2000-04-29,男,25,20代
C00009599,1995-09-16,男,30,30代
C00003129,1989-08-19,女,36,30代
C00001927,1986-11-21,女,38,30代
C00018699,2009-03-15,女,16,10代未満
C00013447,1997-09-07,男,28,20代
C00002259,2004-02-21,女,21,20代
C00007763,1993-01-16,女,32,30代
C00018423,1980-03-08,女,45,40代
C00001229,1979-01-11,女,46,40代
C00013378,1980-12-13,女,44,40代
C00013740,1991-09-13,女,34,30代
C00017541,2009-04-15,男,16,10代未満
C00004405,1990-05-04,男,35,30代
C00000480,1994-11-04,女,30,30代
C00004075,1989-04-29,女,36,30代
C00013898,1967-10-04,女,57,50代
C00004852,1976-12-31,男,48,40代
C00001998,1990-12-02,男,34,30代
C00018530,1986-01-11,女,39,30代
C00007686,2009-02-24,女,16,10代未満
C00009311,1986-03-03,女,39,30代
C00002616,1993-04-28,男,32,30代
C00004051,1988-07-07,女,37,30代
C00002888,1975-08-31,女,50,50代
C00008353,1984-02-28,男,41,40代
C00010289,1980-03-31,男,45,40代
C00012985,1973-07-31,女,52,50代
C00007199,1992-09-14,女,33,30代
C00013367,1999-04-22,女,26,20代
C00016099,1973-10-09,女,51,50代
C00010260,1980-11-12,女,44,40代
C00017986,1999-06-26,女,26,20代
C00008462,1975-06-24,男,50,50代
C00011091,1948-01-09,男,77,60代以上
C00013888,1989-04-19,男,36,30代
C00016436,1944-10-03,女,80,60代以上
C00002835,1988-03-23,女,37,30代
C00008043,1992-04-21,男,33,30代
C00003242,1976-09-30,女,48,40代
C00009170,1991-08-01,男,34,30代
C00007642,1969-03-15,女,56,50代
C00017474,1997-08-18,男,28,20代
C00011293,1999-07-21,女,26,20代
C00018608,1986-03-14,女,39,30代
C00017063,1998-08-15,その他・不明,27,20代
C00016044,1993-01-11,女,32,30代
C00009903,1986-08-03,男,39,30代
C00002658,1972-02-28,女,53,50代
C00017201,2000-03-27,女,25,20代
C00006809,1977-03-10,女,48,40代
C00012944,1986-07-12,女,39,30代
C00007148,1990-03-01,男,35,30代
C00007439,1994-04-02,男,31,30代
C00001539,1993-04-17,女,32,30代
C00001662,1985-09-30,その他・不明,39,30代
C00006284,1977-12-12,男,47,40代
C00008375,1993-01-10,男,32,30代
C00015984,1986-09-12,女,39,30代
C00004549,1996-09-29,女,28,20代
C00014196,1994-03-24,女,31,30代
C00004821,2007-01-18,女,18,10代未満
C00001251,1975-01-14,女,50,50代
C00001535,1996-03-21,女,29,20代
