daily_date,total_sales,customer_id
2020-03-17,17600,C00012033
2021-11-28,31900,C00001357
2021-07-21,980,C00002999
2020-03-22,18900,C00009914
2020-07-05,18900,C00008681
2021-02-14,16800,C00018081
2020-08-22,11000,C00018947
2022-05-06,9800,C00001936
2022-04-10,7600,C00012126
2022-03-05,8300,C00007180
2021-01-10,14300,C00001717
2021-04-18,17600,C00012522
2021-01-24,18900,C00010446
2021-01-02,19800,C00017838
2020-11-21,17600,C00009048
2020-06-02,4800,C00006314
2020-01-22,11000,C00001763
2021-11-06,14500,C00008140
2021-07-26,29400,C00002104
2020-06-06,8800,C00004800
2021-03-28,18100,C00003932
2020-04-12,10200,C00018994
2022-02-05,17000,C00002664
2021-04-03,8800,C00013038
2020-10-17,14100,C00003348
2022-01-16,18900,C00011874
2022-02-12,12900,C00001421
2020-06-06,41200,C00000321
2021-11-28,7600,C00002643
2021-09-26,38900,C00009637
2021-09-26,4800,C00016072
2020-12-28,14300,C00017667
2022-02-17,31000,C00016101
2022-02-05,30800,C00001240
2022-03-27,18900,C00013646
2022-01-01,1200,C00010009
2021-01-16,21000,C00012517
2021-01-09,41200,C00018147
2021-01-05,11000,C00008457
2021-12-31,10200,C00004263
2021-03-28,16800,C00016106
2021-01-16,79200,C00019018
2020-07-04,31900,C00007861
2020-04-04,18100,C00017986
2020-12-30,15900,C00001092
2021-02-28,18900,C00018171
2021-12-18,14500,C00009487
2020-11-21,7600,C00017151
2020-02-02,11000,C00011131
2021-04-03,2280,C00011793
2021-09-23,18400,C00009505
2020-11-27,18900,C00009595
2020-02-23,79200,C00005107
2020-01-09,5890,C00008899
2021-04-05,22100,C00003594
2021-12-19,35200,C00016229
2020-01-25,12400,C00004291
2021-03-06,2180,C00008775
2021-10-06,19800,C00013260
2021-12-31,12400,C00014557
2020-11-14,8900,C00006082
2020-11-15,19800,C00012490
2021-02-13,27200,C00011614
2021-09-14,21000,C00014977
2021-09-25,17600,C00017951
2021-01-02,21000,C00014071
2022-03-05,17000,C00013759
2020-06-28,1200,C00014283
2021-05-01,1200,C00011921
2022-04-11,8800,C00008353
2021-06-27,7800,C00002756
2021-09-08,7600,C00014950
2020-02-28,17000,C00018434
2022-03-06,10200,C00001743
2022-02-22,15900,C00006976
2021-04-02,19400,C00010969
2020-10-14,19400,C00000539
2020-03-07,31900,C00010114
2021-12-10,14100,C00002959
2022-01-30,9800,C00009867
2020-01-13,39600,C00013232
2022-03-19,19800,C00018029
2020-02-08,18400,C00008775
2021-08-15,44200,C00012833
2022-02-28,18100,C00004785
2022-03-19,10200,C00004766
2022-01-21,41200,C00018506
2021-01-04,15900,C00015214
2021-12-11,8900,C00005575
2022-03-13,18900,C00007269
2021-01-03,7600,C00000532
2020-03-01,18000,C00013016
2022-01-26,20000,C00003513
2020-02-09,35200,C00002265
2022-01-05,5280,C00003345
2021-01-10,21000,C00010589
2020-02-08,22100,C00010744
2021-12-27,4800,C00017838
2020-09-18,14100,C00007059
2022-01-18,12400,C00007740
2021-07-24,16500,C00008474
2020-09-20,15900,C00010660
2021-03-29,9800,C00007506
2020-10-11,16500,C00014225
2020-12-26,5280,C00017515
2020-11-06,31900,C00009283
2021-01-03,19800,C00010492
2022-04-11,1200,C00015635
2021-11-02,41200,C00002849
2021-02-28,980,C00005622
2020-04-21,22100,C00017203
2021-05-16,12900,C00000487
2021-03-08,41200,C00009720
2021-03-31,41200,C00004384
2021-10-30,38800,C00000474
2021-04-28,20000,C00014282
2021-01-02,7600,C00000290
2022-03-26,4800,C00004555
2021-01-15,7600,C00018026
2022-04-03,58500,C00014423
2020-03-26,11000,C00000839
2021-02-07,15900,C00016320
2021-03-06,21000,C00018320
2021-05-22,4300,C00007551
2022-02-14,14300,C00001567
2021-01-19,14100,C00007361
2020-12-09,4300,C00003337
2020-03-01,17600,C00000632
2021-12-12,11000,C00006722
2021-04-30,4800,C00004472
2021-04-10,17600,C00010538
2020-01-11,36200,C00017235
2020-01-18,2280,C00002122
2022-01-27,9800,C00014897
2020-04-27,35200,C00010565
2020-01-19,8900,C00016492
2020-04-12,9800,C00010542
2020-02-07,8900,C00012072
2021-04-18,8300,C00006986
2021-11-11,31900,C00000751
2021-09-05,2180,C00007388
2021-07-25,22100,C00006897
2021-11-06,16800,C00005025
2021-12-11,6800,C00017560
2021-04-07,17000,C00012731
2020-10-25,7800,C00007616
2020-08-26,15900,C00002012
2022-02-12,18100,C00003840
2022-03-30,31900,C00012319
2021-12-09,31900,C00018573
2020-12-13,8900,C00012244
2022-02-14,2180,C00006544
2022-02-23,21000,C00012819
2020-01-17,30800,C00013275
2021-12-10,39600,C00009601
2020-09-05,21000,C00004026
2022-04-24,7800,C00007976
2020-02-15,17600,C00009907
2022-01-03,14500,C00011314
2021-08-18,20800,C00001965
2021-12-05,17600,C00016310
2020-12-19,30800,C00013506
2021-02-13,7600,C00013960
2021-10-17,16800,C00013951
2021-03-20,39600,C00009161
2022-04-30,24600,C00013513
